RiskScore,SPY,IJH,IWM,VWO,VEA,IEF,SHY,TLT,LEMB,HYG,VCLT,IAU,SCHH,PGX,BTCUSD,BIL,ExpectedReturn,Volatility
18,0.0726061016,0.01210101693,0.0181515254,0.0181515254,0,0.1871100136,0.2246969492,0.0001374440962,0.1123484746,0.07489898307,0.1497979661,0.03,0,0,0,0.1,4.04,6.67
19,0.07315137504,0.01219189584,0.01828784376,0.01828784376,0,0.1868829831,0.2244243125,0.000137277328,0.1122121562,0.07480810416,0.1496162083,0.03,0,0,0,0.1,4.04,6.68
20,0.07482595401,0.01247099234,0.0187064885,0.0187064885,0,0.186185754,0.223587023,0.0001367651693,0.1117935115,0.07452900766,0.1490580153,0.03,0,0,0,0.1,4.05,6.71
21,0.07883841199,0.01313973533,0.019709603,0.019709603,0,0.1821293368,0.2187157467,0.0001337854753,0.1093578733,0.0729052489,0.1458104978,0.03,0,0,0.009550157704,0.1,4.21,6.92
22,0.0846094071,0.01410156785,0.02115235178,0.02115235178,0,0.1773576177,0.2129854776,0.0001302803469,0.1064927388,0.07099515921,0.1419903184,0.02374868434,0,0,0.02528404506,0.1,4.46,7.38
23,0.1050791944,0.01751319906,0.02626979859,0.02626979859,0,0.1695295535,0.2035849004,0.0001245301405,0.1017924502,0.06786163347,0.1357232669,0.01625167469,0,0,0.03,0.1,4.64,7.9
24,0.1269610741,0.02116017902,0.03174026853,0.03174026853,0,0.1610507814,0.1934029,0.000118301948,0.09670145001,0.06446763334,0.1289352667,0.0137218764,0,0,0.03,0.1,4.75,8.36
25,0.1447036165,0.02411726942,0.03617590413,0.03617590413,0,0.1544397477,0.1854638321,0.0001134457272,0.09273191607,0.06182127738,0.1236425548,0.01061453199,0,0,0.03,0.1,4.84,8.76
26,0.1597066447,0.02661777412,0.03992666118,0.03992666118,0,0.1473041758,0.176894856,0.0001082041999,0.08844742801,0.05896495201,0.117929904,0.01417273869,0,0,0.03,0.1,4.92,9.12
27,0.1736399709,0.02893999515,0.04340999273,0.04340999273,0,0.1421795829,0.1707408273,0.0001044398635,0.08537041366,0.05691360911,0.1138272182,0.0114639574,0,0,0.03,0.1,5,9.46
28,0.1866799654,0.03111332757,0.04666999135,0.04666999135,0,0.1375167797,0.1651413533,0.0001010147407,0.08257067666,0.05504711777,0.1100942355,0.00839554661,0,0,0.03,0.1,5.06,9.79
29,0.1985773802,0.03309623004,0.04964434506,0.04964434506,0,0.1320887448,0.1586229268,0.00009702750703,0.0793114634,0.05287430893,0.1057486179,0.01029461026,0,0,0.03,0.1,5.13,10.1
30,0.2107634317,0.03512723862,0.05269085794,0.05269085794,0,0.1289272597,0.1548263579,0.00009470519699,0.07741317895,0.05160878597,0.1032175719,0.002639754075,0,0,0.03,0.1,5.19,10.42
31,0.2220535402,0.03700892337,0.05551338506,0.05551338506,0,0.124885955,0.1499732299,0.00009173660397,0.07498661494,0.04999107663,0.09998215326,0,0,0,0.03,0.1,5.25,10.72
32,0.2326360915,0.03877268192,0.05815902289,0.05815902289,0,0.1204797952,0.1446819542,0.00008850000195,0.07234097711,0.04822731808,0.09645463615,0,0,0,0.03,0.1,5.31,11.01
33,0.2431731048,0.0405288508,0.0607932762,0.0607932762,0,0.1160925957,0.1394134476,0.00008527732743,0.0697067238,0.0464711492,0.0929422984,0,0,0,0.03,0.1,5.36,11.3
34,0.2532561917,0.04220936528,0.06331404792,0.06331404792,0,0.1118105302,0.1342711945,0.00008213188051,0.06713559726,0.04475706484,0.08951412968,0.0003356987935,0,0,0.03,0.1,5.41,11.58
35,0.2625170041,0.04375283402,0.06562925102,0.06562925102,0,0.1060247649,0.1273231761,0.00007788187126,0.06366158805,0.0424410587,0.08488211739,0.008061072868,0,0,0.03,0.1,5.46,11.84
36,0.272277693,0.0453796155,0.06806942325,0.06806942325,0,0.1020749249,0.1225798865,0.00007498046491,0.06128994324,0.04085996216,0.08171992432,0.007604223363,0,0,0.03,0.1,5.51,12.12
37,0.2825146475,0.04708577458,0.07062866187,0.07062866187,0,0.09969210253,0.1197183992,0.0000732301317,0.0598591996,0.03990613307,0.07981226613,0.00008092351745,0,0,0.03,0.1,5.57,12.41
38,0.2918861981,0.04864769969,0.07297154953,0.07297154953,0,0.09581037202,0.1150569009,0.00007037875602,0.05752845047,0.03835230031,0.07670460062,0,0,0,0.03,0.1,5.62,12.68
39,0.3012497623,0.05020829372,0.07531244058,0.07531244058,0,0.09191175072,0.1103751188,0.00006751497299,0.05518755942,0.03679170628,0.07358341256,0,0,0,0.03,0.1,5.67,12.95
40,0.3104349238,0.05173915397,0.07760873096,0.07760873096,0,0.08808740932,0.1057825381,0.00006470575323,0.05289126904,0.03526084603,0.07052169206,0,0,0,0.03,0.1,5.72,13.22
41,0.3195188504,0.05325314174,0.07987971261,0.07987971261,0,0.08430521816,0.1012405748,0.00006192749548,0.05062028739,0.03374685826,0.06749371653,0,0,0,0.03,0.1,5.76,13.49
42,0.3285108858,0.0547518143,0.08212772146,0.08212772146,0,0.0805612869,0.09674455709,0.00005917734203,0.04837227854,0.0322481857,0.06449637139,0,0,0,0.03,0.1,5.81,13.75
43,0.3374486786,0.05624144643,0.08436216964,0.08436216964,0,0.07683994015,0.09227566071,0.00005644377833,0.04613783036,0.03075855357,0.06151710714,0,0,0,0.03,0.1,5.86,14.02
44,0.3462752739,0.05771254565,0.08656881848,0.08656881848,0,0.07316489164,0.08786236304,0.00005374422361,0.04393118152,0.02928745435,0.05857490869,0,0,0,0.03,0.1,5.9,14.28
45,0.3550480535,0.05917467559,0.08876201339,0.08876201339,0,0.0695122499,0.08347597323,0.00005106112806,0.04173798661,0.02782532441,0.05565064882,0,0,0,0.03,0.1,5.95,14.54
46,0.3637850381,0.06063083968,0.09094625952,0.09094625952,0,0.06587451182,0.07910748095,0.0000483889802,0.03955374048,0.02636916032,0.05273832064,0,0,0,0.03,0.1,6,14.8
47,0.3724319154,0.0620719859,0.09310797885,0.09310797885,0,0.06227429085,0.07478404229,0.00004574439103,0.03739202115,0.0249280141,0.0498560282,0,0,0,0.03,0.1,6.04,15.07
48,0.380881464,0.063480244,0.095220366,0.095220366,0,0.05875622985,0.070559268,0.00004316015352,0.035279634,0.023519756,0.047039512,0,0,0,0.03,0.1,6.09,15.32
49,0.3895172573,0.06491954289,0.09737931433,0.09737931433,0,0.05516062382,0.06624137133,0.00004051895431,0.03312068567,0.02208045711,0.04416091422,0,0,0,0.03,0.1,6.13,15.58
50,0.3980644315,0.06634407192,0.09951610788,0.09951610788,0,0.05160191535,0.06196778425,0.00003790485867,0.03098389212,0.02065592808,0.04131185616,0,0,0,0.03,0.1,6.18,15.84
51,0.4064379082,0.06773965137,0.1016094771,0.1016094771,0,0.04811552769,0.05778104589,0.00003534388723,0.02889052295,0.01926034863,0.03852069726,0,0,0,0.03,0.1,6.22,16.1
52,0.4148512541,0.06914187569,0.1037128135,0.1037128135,0,0.04461254006,0.05357437293,0.00003277072206,0.02678718647,0.01785812431,0.03571624862,0,0,0,0.03,0.1,6.26,16.36
53,0.4232279951,0.07053799919,0.1058069988,0.1058069988,0,0.04112479327,0.04938600243,0.00003020875226,0.02469300122,0.01646200081,0.03292400162,0,0,0,0.03,0.1,6.31,16.62
54,0.4315163014,0.07191938356,0.1078790753,0.1078790753,0,0.03767386727,0.04524184932,0.00002767382964,0.02262092466,0.01508061644,0.03016123288,0,0,0,0.03,0.1,6.35,16.87
55,0.4399123145,0.07331871908,0.1099780786,0.1099780786,0,0.03417809634,0.04104384276,0.00002510596559,0.02052192138,0.01368128092,0.02736256184,0,0,0,0.03,0.1,6.4,17.13
56,0.4481068091,0.07468446819,0.1120267023,0.1120267023,0,0.03076622979,0.03694659543,0.00002259973461,0.01847329772,0.01231553181,0.02463106362,0,0,0,0.03,0.1,6.44,17.38
57,0.4564148347,0.07606913912,0.1141037087,0.1141037087,0,0.02730709341,0.03279258263,0.00002005878095,0.01639629132,0.01093086088,0.02186172175,0,0,0,0.03,0.1,6.48,17.64
58,0.4646412117,0.07744020195,0.1161603029,0.1161603029,0,0.02388195232,0.02867939414,0.00001754279897,0.01433969707,0.009559798047,0.01911959609,0,0,0,0.03,0.1,6.53,17.9
59,0.4728898184,0.07881496974,0.1182224546,0.1182224546,0,0.02044755563,0.02455509078,0.00001502001817,0.01227754539,0.00818503026,0.01637006052,0,0,0,0.03,0.1,6.57,18.15
60,0.4810209719,0.08017016199,0.120255243,0.120255243,0,0.01706206187,0.02048951404,0.00001253315966,0.01024475702,0.006829838013,0.01365967603,0,0,0,0.03,0.1,6.61,18.41
61,0.4891771508,0.08152952513,0.1222942877,0.1222942877,0,0.01366614854,0.01641142462,0.00001003864731,0.00820571231,0.005470474874,0.01094094975,0,0,0,0.03,0.1,6.66,18.66
62,0.4973124607,0.08288541011,0.1243281152,0.1243281152,0,0.01027892421,0.01234376967,0.000007550517585,0.006171884834,0.004114589889,0.008229179779,0,0,0,0.03,0.1,6.7,18.92
63,0.5054289575,0.08423815958,0.1263572394,0.1263572394,0,0.006899532907,0.008285521259,0.000005068141714,0.004142760629,0.00276184042,0.005523680839,0,0,0,0.03,0.1,6.74,19.17
64,0.5135250453,0.08558750756,0.1283812613,0.1283812613,0,0.0035286391,0.00423747733,0.000002592007787,0.002118738665,0.001412492443,0.002824984886,0,0,0,0.03,0.1,6.78,19.43
65,0.5215891194,0.0869315199,0.1303972799,0.1303972799,0,0.0001710745821,0.0002054402966,0.0000001256650613,0.0001027201483,0.00006848009886,0.0001369601977,0,0,0,0.03,0.1,6.83,19.68
66,0.5305547686,0.08842579477,0.1326386922,0.1326386922,0,0.01045910217,0.01256014204,0.000007682869651,0.006280071021,0.004186714014,0.008373428028,0,0,0,0.03,0.04387491219,6.88,20.12
67,0.5382514885,0.08970858142,0.1345628721,0.1345628721,0,0,0,0,0,0,0,0,0,0,0.03,0.07291418576,6.92,20.28
68,0.5467478634,0.09112464389,0.1366869658,0.1366869658,0,0.002784741271,0.003344144207,0.000002045567952,0.001672072104,0.001114714736,0.002229429471,0,0,0,0.03,0.0476064137,6.96,20.62
69,0.5549094673,0.09248491122,0.1387273668,0.1387273668,0,0.001456528073,0.001749117581,0.000001069911657,0.0008745587907,0.0005830391938,0.001166078388,0,0,0,0.03,0.03932049585,7.01,20.89
70,0.5631273261,0.09385455434,0.1407818315,0.1407818315,0,0,0,0,0,0,0,0,0,0,0.03,0.03145445658,7.05,21.17
71,0.5714277559,0.09523795931,0.142856939,0.142856939,0,0.0001279506664,0.0001536535851,0.00000009398782767,0.00007682679255,0.0000512178617,0.0001024357234,0,0,0,0.03,0.01710822824,7.1,21.48
72,0.5797776833,0.09662961389,0.1449444208,0.1449444208,0,0.0006780857092,0.000814300567,0.0000004980966849,0.0004071502835,0.0002714335223,0.0005428670447,0.0001926190642,0,0,0.03,0.0007969068308,7.14,21.78
73,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
74,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
75,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
76,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
77,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
78,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
79,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
80,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
81,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
82,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
83,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
84,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
85,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
86,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
87,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
88,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
89,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
90,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
91,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.02999999999,0,7.16,21.85
92,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
93,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
94,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
95,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
96,0.582,0.09699999999,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
97,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
98,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
99,0.582,0.097,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.02999999999,0,7.16,21.85
100,0.5819999999,0.09699999998,0.1455,0.1455,0,0,0,0,0,0,0,0,0,0,0.03,0,7.16,21.85
